No.,1,,,,,,No.,2,,,,,,No.,3,,,,,,No.,4,,,,,,No.,5,,,,,,No.,6,,,,,,No.,7,,,,,,No.,8,,,,,,No.,9,,,,,,No.,10,,,,,,No.,11,,,,,,No.,12,,,,,,No.,13,,,,,,No.,14,,,,,
[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,,[Information],,[Volt (V)],[Current (mA)],[J (mA/cm^2)],,
Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-1.08827728398,-10.8827728398,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,2.022318977037,20.223189770372,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.186866510141,-21.86866510141,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.363184569655,3.631845696549,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.021385435975,-20.213854359755,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.402108655521,4.021086555207,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.030946200031,-20.309462000305,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.358559537042,3.585595370421,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.175962408465,-21.759624084651,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.329754427253,3.297544272534,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-2.027572370152,-20.275723701523,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,0.327636220504,3.276362205041,,,Name,single jv 2 (single jv 2.CH_Ref.Forward(1)),-0.20000000298,-1.812218479705E-7,-1.812218479705E-6,,,Name,single jv 2 (single jv 2.CH_Ref.Reverse(1)),1.200000047684,1.15706474249E-6,1.15706474249E-5,,
Comment,,-0.180000007153,-1.000606861162,-10.006068611617,,,Comment,,1.179999947548,2.009572909553,20.095729095526,,,Comment,,-0.180000007153,-2.170643373938,-21.706433739383,,,Comment,,1.179999947548,0.027736722623,0.277367226229,,,Comment,,-0.180000007153,-2.011873363672,-20.118733636718,,,Comment,,1.179999947548,0.05210528291,0.521052829103,,,Comment,,-0.180000007153,-2.016958646975,-20.169586469745,,,Comment,,1.179999947548,0.026266507526,0.262665075255,,,Comment,,-0.180000007153,-2.161029295497,-21.610292954973,,,Comment,,1.179999947548,0.013191004945,0.13191004945,,,Comment,,-0.180000007153,-2.017360508011,-20.173605080109,,,Comment,,1.179999947548,0.009381882541,0.09381882541,,,Comment,,-0.180000007153,-1.48544092047E-7,-1.48544092047E-6,,,Comment,,1.179999947548,9.541750340737E-7,9.541750340737E-6,,
Test Mode,Single-Channel,-0.159999996424,-0.90182000365,-9.018200036505,,,Test Mode,Single-Channel,1.159999966621,2.003875974646,20.038759746456,,,Test Mode,Single-Channel,-0.159999996424,-2.159262293413,-21.592622934134,,,Test Mode,Single-Channel,1.159999966621,-0.289554985387,-2.895549853871,,,Test Mode,Single-Channel,-0.159999996424,-2.007403969388,-20.074039693884,,,Test Mode,Single-Channel,1.159999966621,-0.275333762966,-2.753337629662,,,Test Mode,Single-Channel,-0.159999996424,-2.005214612588,-20.052146125879,,,Test Mode,Single-Channel,1.159999966621,-0.288326284891,-2.883262848915,,,Test Mode,Single-Channel,-0.159999996424,-2.139289815313,-21.392898153135,,,Test Mode,Single-Channel,1.159999966621,-0.287895075091,-2.87895075091,,,Test Mode,Single-Channel,-0.159999996424,-2.009910670056,-20.099106700556,,,Test Mode,Single-Channel,1.159999966621,-0.293758920062,-2.937589200621,,,Test Mode,Single-Channel,-0.159999996424,-1.192418762845E-7,-1.192418762845E-6,,,Test Mode,Single-Channel,1.159999966621,8.194080178135E-7,8.194080178135E-6,,
Channel,CH_Ref (normal),-0.140000000596,-0.783283382723,-7.832833827232,,,Channel,CH_Ref (normal),1.139999985695,1.999932482094,19.999324820942,,,Channel,CH_Ref (normal),-0.140000000596,-2.141678176534,-21.416781765344,,,Channel,CH_Ref (normal),1.139999985695,-0.575046588268,-5.750465882679,,,Channel,CH_Ref (normal),-0.140000000596,-2.004969304777,-20.049693047774,,,Channel,CH_Ref (normal),1.139999985695,-0.565639960186,-5.65639960186,,,Channel,CH_Ref (normal),-0.140000000596,-2.000922034079,-20.009220340788,,,Channel,CH_Ref (normal),1.139999985695,-0.570453114767,-5.704531147669,,,Channel,CH_Ref (normal),-0.140000000596,-2.111608862851,-21.116088628511,,,Channel,CH_Ref (normal),1.139999985695,-0.561151430121,-5.611514301214,,,Channel,CH_Ref (normal),-0.140000000596,-2.005562080624,-20.055620806236,,,Channel,CH_Ref (normal),1.139999985695,-0.568178085138,-5.681780851381,,,Channel,CH_Ref (normal),-0.140000000596,-7.912970604401E-8,-7.912970604401E-7,,,Channel,CH_Ref (normal),1.139999985695,7.465452276103E-7,7.465452276103E-6,,
Power,---,-0.119999997318,-0.639216153024,-6.392161530239,,,Power,---,1.120000004768,1.99911789683,19.991178968301,,,Power,---,-0.119999997318,-2.111132577397,-21.111325773973,,,Power,---,1.120000004768,-0.82330276334,-8.233027633405,,,Power,---,-0.119999997318,-2.003408626285,-20.034086262854,,,Power,---,1.120000004768,-0.818055398911,-8.180553989113,,,Power,---,-0.119999997318,-1.999259195362,-19.992591953617,,,Power,---,1.120000004768,-0.819219532397,-8.192195323967,,,Power,---,-0.119999997318,-2.082119920945,-20.821199209446,,,Power,---,1.120000004768,-0.804322745633,-8.043227456327,,,Power,---,-0.119999997318,-2.001763122448,-20.017631224481,,,Power,---,1.120000004768,-0.81199782146,-8.1199782146,,,Power,---,-0.119999997318,-5.682841247139E-8,-5.682841247139E-7,,,Power,---,1.120000004768,6.822627509055E-7,6.822627509055E-6,,
Area (cm^2),0.1,-0.10000000149,-0.481995572838,-4.819955728384,,,Area (cm^2),0.1,1.100000023842,1.996799029216,19.967990292163,,,Area (cm^2),0.1,-0.10000000149,-2.06838360808,-20.683836080802,,,Area (cm^2),0.1,1.100000023842,-1.028040560455,-10.280405604547,,,Area (cm^2),0.1,-0.10000000149,-2.0010103264,-20.010103264001,,,Area (cm^2),0.1,1.100000023842,-1.027036158256,-10.270361582564,,,Area (cm^2),0.1,-0.10000000149,-2.000236728496,-20.002367284962,,,Area (cm^2),0.1,1.100000023842,-1.024666749838,-10.246667498375,,,Area (cm^2),0.1,-0.10000000149,-2.054007984848,-20.540079848478,,,Area (cm^2),0.1,1.100000023842,-1.006623258643,-10.06623258643,,,Area (cm^2),0.1,-0.10000000149,-2.000231720642,-20.00231720642,,,Area (cm^2),0.1,1.100000023842,-1.012762464117,-10.127624641174,,,Area (cm^2),0.1,-0.10000000149,-4.144539342078E-8,-4.144539342078E-7,,,Area (cm^2),0.1,1.100000023842,6.210892684574E-7,6.210892684574E-6,,
Start (V),-0.2,-0.079999998212,-0.321855389594,-3.21855389594,,,Start (V),-0.2,1.080000042915,1.995880819893,19.958808198928,,,Start (V),-0.2,-0.079999998212,-2.031865642057,-20.318656420567,,,Start (V),-0.2,1.080000042915,-1.200051356415,-12.000513564152,,,Start (V),-0.2,-0.079999998212,-1.999033996012,-19.990339960117,,,Start (V),-0.2,1.080000042915,-1.203289550489,-12.032895504893,,,Start (V),-0.2,-0.079999998212,-1.997498510878,-19.974985108784,,,Start (V),-0.2,1.080000042915,-1.200210182436,-12.002101824364,,,Start (V),-0.2,-0.079999998212,-2.029251079915,-20.29251079915,,,Start (V),-0.2,1.080000042915,-1.178708228628,-11.787082286282,,,Start (V),-0.2,-0.079999998212,-1.994307198024,-19.943071980238,,,Start (V),-0.2,1.080000042915,-1.182967061905,-11.829670619046,,,Start (V),-0.2,-0.079999998212,-2.016044459111E-8,-2.016044459111E-7,,,Start (V),-0.2,1.080000042915,5.730177937158E-7,5.730177937158E-6,,
End (V),1.2,-0.059999998659,-0.170772858622,-1.707728586223,,,End (V),1.2,1.05999994278,1.992773947164,19.927739471639,,,End (V),1.2,-0.059999998659,-2.00309860159,-20.030986015901,,,End (V),1.2,1.05999994278,-1.344779998454,-13.447799984544,,,End (V),1.2,-0.059999998659,-1.995081720455,-19.950817204546,,,End (V),1.2,1.05999994278,-1.350637261739,-13.506372617389,,,End (V),1.2,-0.059999998659,-1.997981884372,-19.97981884372,,,End (V),1.2,1.05999994278,-1.34578276347,-13.457827634696,,,End (V),1.2,-0.059999998659,-2.007273842224,-20.072738422238,,,End (V),1.2,1.05999994278,-1.322578524462,-13.225785244621,,,End (V),1.2,-0.059999998659,-1.989842041156,-19.898420411555,,,End (V),1.2,1.05999994278,-1.324420105051,-13.244201050513,,,End (V),1.2,-0.059999998659,-1.021501755369E-9,-1.021501755369E-8,,,End (V),1.2,1.05999994278,5.416398666767E-7,5.416398666767E-6,,
Step (V),0.02,-0.039999999106,-0.024253407931,-0.24253407931,,,Step (V),0.02,1.039999961853,1.988849484458,19.888494844585,,,Step (V),0.02,-0.039999999106,-1.985517258292,-19.855172582918,,,Step (V),0.02,1.039999961853,-1.469168277722,-14.691682777217,,,Step (V),0.02,-0.039999999106,-1.99069761378,-19.9069761378,,,Step (V),0.02,1.039999961853,-1.476715845877,-14.767158458773,,,Step (V),0.02,-0.039999999106,-1.996172122918,-19.961721229178,,,Step (V),0.02,1.039999961853,-1.470286801212,-14.702868012122,,,Step (V),0.02,-0.039999999106,-1.995543983917,-19.955439839167,,,Step (V),0.02,1.039999961853,-1.444139947093,-14.441399470927,,,Step (V),0.02,-0.039999999106,-1.989778942193,-19.897789421929,,,Step (V),0.02,1.039999961853,-1.448140182484,-14.481401824841,,,Step (V),0.02,-0.039999999106,2.969134518387E-8,2.969134518387E-7,,,Step (V),0.02,1.039999961853,5.108613837815E-7,5.108613837815E-6,,
